Measurement	Count	Measurement_type	source_file
TSS_up_1kb	124363	Tag count	TARGET-10-PANNGL-09A-01R
TSS_up_5kb	380377	Tag count	TARGET-10-PANNGL-09A-01R
TSS_up_10kb	644243	Tag count	TARGET-10-PANNGL-09A-01R
TES_down_1kb	308937	Tag count	TARGET-10-PANNGL-09A-01R
TES_down_5kb	926093	Tag count	TARGET-10-PANNGL-09A-01R
TES_down_10kb	1276296	Tag count	TARGET-10-PANNGL-09A-01R
CDS_Exons	45828624	Tag count	TARGET-10-PANSBK-03B-01R
5'UTR_Exons	3615448	Tag count	TARGET-10-PANSBK-03B-01R
3'UTR_Exons	16131209	Tag count	TARGET-10-PANSBK-03B-01R
Introns	125900498	Tag count	TARGET-10-PANSBK-03B-01R
TSS_up_1kb	252700	Tag count	TARGET-10-PANSBK-03B-01R
TSS_up_5kb	837603	Tag count	TARGET-10-PANSBK-03B-01R
TSS_up_10kb	1406485	Tag count	TARGET-10-PANSBK-03B-01R
TES_down_1kb	584450	Tag count	TARGET-10-PANSBK-03B-01R
TES_down_5kb	1867563	Tag count	TARGET-10-PANSBK-03B-01R
TES_down_10kb	2702414	Tag count	TARGET-10-PANSBK-03B-01R
CDS_Exons	39177212	Tag count	TARGET-10-PANSFD-09A-01R
5'UTR_Exons	2225600	Tag count	TARGET-10-PANSFD-09A-01R
3'UTR_Exons	15913793	Tag count	TARGET-10-PANSFD-09A-01R
Introns	25275936	Tag count	TARGET-10-PANSFD-09A-01R
TSS_up_1kb	108294	Tag count	TARGET-10-PANSFD-09A-01R
TSS_up_5kb	358204	Tag count	TARGET-10-PANSFD-09A-01R
TSS_up_10kb	593766	Tag count	TARGET-10-PANSFD-09A-01R
TES_down_1kb	308626	Tag count	TARGET-10-PANSFD-09A-01R
TES_down_5kb	941199	Tag count	TARGET-10-PANSFD-09A-01R
TES_down_10kb	1307756	Tag count	TARGET-10-PANSFD-09A-01R
CDS_Exons	33809751	Tag count	TARGET-10-PANTTZ-09B-01R
5'UTR_Exons	3143842	Tag count	TARGET-10-PANTTZ-09B-01R
3'UTR_Exons	13586304	Tag count	TARGET-10-PANTTZ-09B-01R
Introns	115153535	Tag count	TARGET-10-PANTTZ-09B-01R
TSS_up_1kb	298863	Tag count	TARGET-10-PANTTZ-09B-01R
TSS_up_5kb	956778	Tag count	TARGET-10-PANTTZ-09B-01R
TSS_up_10kb	1560236	Tag count	TARGET-10-PANTTZ-09B-01R
TES_down_1kb	910488	Tag count	TARGET-10-PANTTZ-09B-01R
